LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.806, Mean ratio : 0.410, Time: 3.863962 s ± 0.000000 s
         9130968 function calls (8727914 primitive calls) in 12.694 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      142    0.000    0.000    0.048    0.000 module.py:167(link_in)
       90    0.001    0.000    0.047    0.001 base.py:412(declare_function)
   172074    0.047    0.000    0.047    0.000 {method 'append' of 'list' objects}
       36    0.001    0.000    0.047    0.001 lowering.py:342(init)
      324    0.020    0.000    0.046    0.000 analysis.py:118(compute_dead_maps)
       28    0.001    0.000    0.046    0.002 imputils.py:192(imp)
       36    0.006    0.000    0.046    0.001 lowering.py:358(_find_singly_assigned_variable)
       30    0.007    0.000    0.046    0.002 __init__.py:851(_rc_params_in_file)
    19103    0.023    0.000    0.046    0.000 _utils.py:24(deduplicate)
       37    0.002    0.000    0.046    0.001 config.py:151(update)
     3081    0.013    0.000    0.046    0.000 context.py:586(_rate_arguments)
      324    0.002    0.000    0.045    0.000 transforms.py:353(canonicalize_cfg)
      271    0.001    0.000    0.045    0.000 _compiler.py:573(_code)
     4540    0.009    0.000    0.045    0.000 instructions.py:666(__init__)
      552    0.002    0.000    0.044    0.000 targetconfig.py:190(__eq__)
        3    0.001    0.000    0.044    0.015 core.py:1(<module>)
       36    0.000    0.000    0.044    0.001 config.py:604(reload_config)
     1922    0.008    0.000    0.044    0.000 event.py:422(trigger_event)
        1    0.000    0.000    0.044    0.044 _sketches.py:1(<module>)
     8935    0.016    0.000    0.044    0.000 weakref.py:414(__getitem__)
      324    0.003    0.000    0.043    0.000 transforms.py:283(canonicalize_cfg_single_backedge)
     1822    0.003    0.000    0.043    0.000 module.py:240(_next)
      147    0.002    0.000    0.043    0.000 ir_print.py:11(match)
     4146    0.011    0.000    0.043    0.000 ansitowin32.py:49(isatty)
      540    0.006    0.000    0.042    0.000 values.py:936(__init__)
      492    0.001    0.000    0.042    0.000 lowering.py:1556(incref)
       26    0.000    0.000    0.042    0.002 base.py:884(call_internal)
        1    0.000    0.000    0.042    0.042 callconv.py:1(<module>)
     3537    0.005    0.000    0.042    0.000 ssa.py:207(_run_ssa_block_pass)
       92    0.000    0.000    0.042    0.000 base.py:1100(get_abi_sizeof)
     1001    0.042    0.000    0.042    0.000 LebwohlLasher.py:207(get_order)
      954    0.003    0.000    0.041    0.000 functools.py:902(wrapper)
       92    0.000    0.000    0.041    0.000 types.py:48(get_abi_size)
        2    0.000    0.000    0.041    0.020 lowering.py:273(create_cpython_wrapper)
        2    0.000    0.000    0.041    0.020 cpu.py:181(create_cpython_wrapper)
        3    0.000    0.000    0.041    0.014 base.py:1(<module>)
       10    0.000    0.000    0.041    0.004 typeconv.py:103(safe_unsafe)
     1338    0.001    0.000    0.041    0.000 context.py:268(core)
